bankruptcy_filing_date,debtor,chapter,assets,stalking_horse_parent,stalking_horse,stalking_horse_bid_1,stalking_horse_bid_text,breakup_fee_1,breakup_fee_2,breakup_fee_text,required_overbid_1,required_overbid_2,required_overbid_text,bidder_list,winner_parent,winner,winning_bid_1,winning_bid_text,judge,court,debtor_counsel,stalking_horse_counsel,bidding_procedures_order_filed,sale_order_filed,bankruptcy_case_closed,comments_on_bankruptcy_filing_date,comments_on_debtor,comments_on_chapter,comments_on_assets,comments_on_stalking_horse_parent,comments_on_stalking_horse,comments_on_stalking_horse_bid_1,comments_on_stalking_horse_bid_text,comments_on_breakup_fee_1,comments_on_breakup_fee_text,comments_on_required_overbid_1,comments_on_required_overbid_text,comments_on_bidder_list,comments_on_winner_parent,comments_on_winner,comments_on_winning_bid_1,comments_on_winning_bid_text,comments_on_judge,comments_on_court,comments_on_debtor_counsel,comments_on_stalking_horse_counsel,comments_on_bidding_procedures_order_filed,comments_on_sale_order_filed,comments_on_bankruptcy_case_closed,computation_breakup_fee_percentage_1,computation_breakup_fee_percentage_2,computation_required_overbid_percentage_1,computation_required_overbid_percentage_2
2013-07-15,AgFeed USA LLC,11,"Farrowing and feed operations in Colorado, Oklahoma, and North Carolina; Finishing network in Iowa; Approximately 45% of the debtors' finishing herd",The Maschhoffs LLC,The Maschhoffs LLC,79000000,"Assumed liabilities; Various adjustments - see (D43, p123) for more details",2370000,790000,"Expense reimbursement up to $790,000",2620000,790000,"Expense reimbursement up to $790,000","TriOak Foods Inc, TriOak Foods Inc, and Smithfield Foods Inc; The Maschhoffs LLC","TriOak Foods Inc, TriOak Foods Inc, and Smithfield Foods Inc","High Plains Pork LLC, Cohoma Pork LLC, and Murphy Brown LLC",53191304,"Assumed liabilities; Various adjustments - see (D257, p57) for more details",Brendan Shannon,debke,Foley & Lardner; Young Conaway Stargatt & Taylor,Bryan Cave,2013-08-01,2013-08-29,,,,,"8-K, 8/30/2013",General information,"D43, p117
Motion","D43, p123
Motion","D43, p123
Motion","D103, p4
Bidding procedures order

D43, p143
Motion","D103, p4
Bidding procedures order

D43, p143
Motion","D103, p20/21
Bidding procedures order","D103, p20
Bidding procedures order","D318, p14
Sale hearing transcript","8-K, 8/30/2013

Smithfield website","D257, p47
Order","D257, p57
Order","D257, p57
Order",,,,,,,,0.03,0.04,0.033164557,0.043164557
2013-07-15,AgFeed USA LLC,11,Stock of AgFeed Industries Inc (British Virgin Islands),Ningbo Tech-Bank Company Ltd,Good Charm International Development Ltd,52880000,"Various adjustments - see (D331, p88) for more details",1586400,528800,"Expense reimbursement up to $528,800",1836400,528800,"Expense reimbursement up to $528,800",Ningbo Tech-Bank Company Ltd,Ningbo Tech-Bank Company Ltd,Good Charm International Development Ltd,52880000,"Various adjustments - see (D640, p37) for more details",Brendan Shannon,debke,Foley & Lardner; Young Conaway Stargatt & Taylor,Robbins Salomon & Patt; HHP Attorneys-at-Law,2013-10-10,2013-11-26,,,,,"D640, p1
Order","D331, p83
Motion","D331, p83
Motion","D331, p88
Motion","D331, p88
Motion","D436, p4
Bidding procedures order

D331, p95
Motion","D436, p4
Bidding procedures order

D331, p95
Motion","D436, p14
Bidding procedures order","D436, p14
Bidding procedures order","D640, p2
Order","D640, p32
Order","D640, p32
Order","D640, p37
Order","D640, p37
Order",,,,,,,,0.03,0.04,0.034727685,0.044727685
2011-09-07,Alexander Gallo Holdings LLC,11,Substantially all of the debtors' assets,HIG Capital LLC,Bayside Gallo Acquisition LLC,89409975,"Assumed liabilities of approximately $11.102mm; Various adjustments - see (D181, p17) for more details",3300000,1000000,Expense reimbursement up to $1m,4550000,1000000,Expense reimbursement up to $1m,HIG Capital LLC,HIG Capital LLC,Bayside Gallo Acquisition LLC,89409975,"Assumed liabilities of approximately $11.102mm; Various adjustments - see (D262, p49) for more details",Allan Gropper,nysbke,DLA Piper,Dechert,2011-10-06,2011-11-10,,,,,"D262, p1
Order","Press release, Bayside, 12/6/2011","D181, p10
Other","D181, p17
Other

D216, p41/42
Bidding procedures hearing transcript

Includes first lien liabilities of approximately $48mm, second lien liabilities of approximately $23.2mm; DIP liabilities of approximately $8.1mm,  cure costs of approximately $3.945mm, professional fees of approximately $3.5mm, reimbursement for priority claim liabilities up to $1.434975mm, and wind-down expenses of $1.23mm","D181, p17
Other","D144, p6/19
Bidding procedures order

This value is an approximation. We must use (D181, p28) to compute this figure.","D144, p7
Bidding procedures order","D144, p15
Bidding procedures order","D144, p15
Bidding procedures order","D293, p14
Sale hearing transcript","Press release, Bayside, 12/6/2011","D262, p42
Order","D262, p49
Order

D216, p41/42
Bidding procedures hearing transcript

Includes first lien liabilities of approximately $48mm, second lien liabilities of approximately $23.2mm; DIP liabilities of approximately $8.1mm,  cure costs of approximately $3.945mm, professional fees of approximately $3.5mm, reimbursement for priority claim liabilities up to $1.434975mm, and wind-down expenses of $1.23mm","D262, p49
Order",,,,,,,,0.036908634,0.048093068,0.050889177,0.062073611
2012-05-17,Allied Systems Holdings Inc,11,Substantially all of the debtors' assets,,No stalking horse,,,,,,,,,"Jack Cooper Holdings Corp; Black Diamond Capital Management LLC, Spectrum Group Management LLC, and American Financial Group Inc","Jack Cooper Holdings Corp AND Black Diamond Capital Management LLC, Spectrum Group Management LLC, and American Financial Group Inc",Jack Cooper Holdings Corp and SBDRE LLC,140000000,"Various adjustments - see (D1812, p22) and (D1868, p37) for more details",Christopher Sontchi,debke,Troutman Sanders,,,2013-09-30,,,,,"D1844, p40
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, no mention
Sale hearing transcript","D1844, p9
Sale hearing transcript

D1868, p6
Order

General information","General information

D1844, p10
Sale hearing transcript

D1868, p6
Order","D1837, p15
Order

D1812, p11
Other

D2304, p1
Other","D1837, p15
Order

D1812, p22/80
Other

D1868, p37/62
Order

Includes $5mm credit bid. $10mm of this value may be paid using notes issued by Jack Cooper Holdings Corp.","D1837, p15
Order

D1812, p22
Other

D1868, p37
Order",,,,"D1844, no mention
Sale hearing transcript",,Another sale order was filed on 9/17/2013.,,,,,
2012-05-17,Allied Systems Holdings Inc,11,"Real property located in Ashland, Massachusetts",,Private sale,,,,,,,,,,Francis Venuto,FLG LLC,1,Assumed liabilities,Christopher Sontchi,debke,Goulston & Storrs; Troutman Sanders; Sidley Austin,,,2013-11-13,,,,,"D1966, p1
Order","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion","D1966, p8
Order","D1966, p8
Order","D1966, p9
Order","D1966, p9
Order",,,,"D1966, p4
Order

D1925, p16
Motion","D1966, p4
Order

D1925, p16
Motion",,,,,,
2010-10-28,AmericanWest Bancorp,11,Substantially all of the debtor's assets,SKBHC Holdings LLC,SKBHC Hawks Nest Acquisition Corp,191500000,0,1000000,0,0,1500000,0,0,SKBHC Holdings LLC,SKBHC Holdings LLC,SKBHC Hawks Nest Acquisition Corp,191500000,0,Patricia Williams,waebke,Morrison & Foerster,Skadden Arps Slate Meagher & Flom,2010-11-18,2010-12-09,,,,,"Press release, 12/20/2010","D2 Exhibit A, p6
Motion","D2 Exhibit A, p6
Motion","D2 Exhibit A, p16
Motion

Press release, 12/20/2010

Includes equity contribution of $185mm","D2 Exhibit A, p16
Motion","D131, p5/8
Bidding procedures order","D131, p8
Bidding procedures order","D131, p16
Bidding procedures order","D131, p16
Bidding procedures order","D153, p2
Order","D2 Exhibit A, p6
Motion","D153, p10
Order

D2 Exhibit A, p6
Motion","D153, p10
Order

D2 Exhibit A, p16
Motion

Press release, 12/20/2010

Includes equity contribution of $185mm","D153, p10
Order

D2 Exhibit A, p16
Motion",,,,,,,,0.005221932,0.005221932,0.007832898,0.007832898
2011-11-09,Blitz USA Inc,11,F3 Brands LLC business line,Scepter Corp,Scepter Holdings Inc,14500000,"Assumed liabilities; Various adjustments - see (D309, p30) for more details",438500,0,0,538500,0,0,Hopkins Manufacturing Corp; Scepter Corp,Hopkins Manufacturing Corp,Hopkins Manufacturing Corp,15463500,"Assumed liabilities; Various adjustments - see (D364, p54) for more details",Peter Walsh,debke,Richards Layton & Finger,Borden Ladner Gervais; Pepper Hamilton,2012-03-21,2012-03-29,,,,,"D372, p45
Sale hearing transcript",General information,"D309, p12
Other","D309, p30
Other","D309, p21/30
Other","D329, p7
Bidding procedures order

D309, p59
Other","D329, p7
Bidding procedures order","D329, p17/22
Bidding procedures order","D329, p17
Bidding procedures order","D372, p46
Sale hearing transcript",General information,"D364, p36
Order","D364, p54
Order","D364, p45/54
Order",,,,,,,,0.030241379,0.030241379,0.037137931,0.037137931
2011-11-09,Blitz USA Inc,11,Substantially all of the debtors' assets,Scepter Corp,Scepter Holdings Inc,9500000,Assumed liabilities,285000,0,0,385000,0,0,Scepter Corp,Scepter Corp,Scepter Holdings Inc,9500000,Assumed liabilities,Peter Walsh,debke,Richards Layton & Finger,Borden Ladner Gervais; Pepper Hamilton,2012-08-30,2012-09-11,,,,,"D758, p1
Order",General information,"D695, p10
Other","D695, p28
Other","D695, p28
Other","D728, p6
Bidding procedures order

D695, p11
Other","D728, p6
Bidding procedures order","D728, p14/18
Bidding procedures order","D728, p14
Bidding procedures order","D790, p4
Sale hearing transcript",General information,"D758, p42
Order","D758, p60
Order","D758, p60
Order",,,,,,,,0.03,0.03,0.040526316,0.040526316
2010-08-18,Boston Generating LLC,11,Substantially all of the debtors' assets,Constellation Energy Group Inc,Constellation Holdings Inc,1100000000,"Assumed liabilities; Various adjustments - see (D24 Exhibit E, p28) for more details",30000000,5000000,Expense reimbursement up to $5mm,45000000,0,"Various adjustments - see (D268 Attachment, p13) for more details",Constellation Energy Group Inc,Constellation Energy Group Inc,Constellation Holdings Inc,1100000000,"Assumed liabilities; Various adjustments - see (D496 Exhibit 1 Part 1, p28) for more details",Shelley Chapman,nysbke,Latham & Watkins,Winston & Strawn,2010-10-12,2010-11-24,,,,,"D494, p1
Order",General information,"D24 Exhibit E, p6
Motion","D24 Exhibit E, p28
Motion","D24 Exhibit E, p28
Motion","D268, p8
Bidding procedures order

D24 Exhibit E, p55
Motion","D268, p8
Bidding procedures order

D24 Exhibit E, p54
Motion","D268 Schedule, p13
Bidding procedures order","D268 Schedule, p13
Bidding procedures order","D494, p2
Order",General information,"D496 Exhibit 1 Part 1, p6
Other","D496 Exhibit 1 Part 1, p28
Other","D496 Exhibit 1 Part 1, p28
Other",,,,,,,,0.027272727,0.031818182,0.040909091,0.040909091
2009-07-09,Cabrini Medical Center,11,Debtor's real property and related assets,JD Carlisle Development Corp,Cabre Partners LLC,80000000,"Various adjustments - see (D224, p38) for more details",3000000,0,0,3000000,0,0,Memorial Sloan Kettering Cancer Center; JD Carlisle Development Corp; Potentially others,Memorial Sloan Kettering Cancer Center,SKI Realty Inc,83100000,"Various adjustments - see (D292, p25) for more details",Allan Gropper,nysbke,Garfunkel Wild; Togut Segal & Segal,Proskauer Rose,2009-12-30,2010-02-11,2013-09-30,,,,"D292, p1
Order","D224, p31
Bidding procedures order","D224, p31
Bidding procedures order","D224, p38
Bidding procedures order","D224, p38
Bidding procedures order","D224, p8
Bidding procedures order","D224, p8
Bidding procedures order","D224, p22
Bidding procedures order","D224, p22
Bidding procedures order","D292, no mention
Order","D292, p18
Order","D292, p18
Order","D292, p25
Order","D292, p25
Order",,,,,,,,0.0375,0.0375,0.0375,0.0375
